Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate,,Enw,Lab,Maes,Gwlad,Awdurdod Lleol,Deunydd,Techneg,Disgrifiad o'r safle,Amheuon,Tystysgrif
Henbury Level,OxA-17441,5210BC - 4840BC,Wales,South Gloucestershire,Plant material (common reed),AMS,Mid-Roman interconnecting enclosures and droveways.,[None recorded],N,,Lefel Henbury,OxA-17441,5210BC - 4840BC,Cymru,De Swydd Gaerloyw,Deunydd planhigyn (cawnen gyffredin),AMS,Llociau a gyrlwybrau Canol-Rufeinig rhyng-gysylltiedig.,[Heb eu cofnodi],N
Henbury Level,OxA-17583,1020BC - 840BC,Wales,South Gloucestershire,Plant material (common reed),AMS,Mid-Roman interconnecting enclosures and droveways.,[None recorded],N,,Lefel Henbury,OxA-17583,1020BC - 840BC,Cymru,De Swydd Gaerloyw,Deunydd planhigyn (cawnen gyffredin),AMS,Llociau a gyrlwybrau Canol-Rufeinig rhyng-gysylltiedig.,[Heb eu cofnodi],N
Henbury Level,OxA-17584,3970BC - 3790BC,Wales,South Gloucestershire,Plant material (common reed),AMS,Mid-Roman interconnecting enclosures and droveways.,[None recorded],N,,Lefel Henbury,OxA-17584,3970BC - 3790BC,Cymru,De Swydd Gaerloyw,Deunydd planhigyn (cawnen gyffredin),AMS,Llociau a gyrlwybrau Canol-Rufeinig rhyng-gysylltiedig.,[Heb eu cofnodi],N
Llanymynech,CAR-1353,540BC - 190BC,Wales,Shropshire,Peat,Radiometric,Palaeoenvironmental study linked to hillfort.,[None recorded],N,,Llanymynech,CAR-1353,540BC - 190BC,Cymru,Swydd Amwythig,Mawn,Radiometrig,Astudiaeth baleoamgylcheddol yn cysylltiedig â bryngaer.,[Heb eu cofnodi],N
Llanymynech,CAR-1354,10470BC - 9670BC,Wales,Shropshire,Peat,Radiometric,Palaeoenvironmental study linked to hillfort.,[None recorded],N,,Llanymynech,CAR-1354,10470BC - 9670BC,Cymru,Swydd Amwythig,Mawn,Radiometrig,Astudiaeth baleoamgylcheddol yn cysylltiedig â bryngaer.,[Heb eu cofnodi],N
Llanymynech,CAR-534,200BC - AD130,Wales,Shropshire,"Charcoal (twigs, <10 years growth)",Radiometric,Hillfort with evidence of metalworking.,[None recorded],N,,Llanymynech,CAR-534,200BC - AD130,Cymru,Swydd Amwythig,"Golosg (brigynnau, <10 mlynedd o dwf)",Radiometrig,Bryngaer gyda thystiolaeth o weithio metel.,[Heb eu cofnodi],N
Llanymynech,CAR-535,400BC - 40BC,Wales,Shropshire,Charcoal,Radiometric,Hillfort with evidence of metalworking.,[None recorded],N,,Llanymynech,CAR-535,400BC - 40BC,Cymru,Swydd Amwythig,Golosg,Radiometrig,Bryngaer gyda thystiolaeth o weithio metel.,[Heb eu cofnodi],N
Llanymynech,OxA-6824,750BC - 370BC,Wales,Shropshire,"Bone (human, child, c. 7 years old)",AMS,Hillfort with evidence of metalworking.,[None recorded],N,,Llanymynech,OxA-6824,750BC - 370BC,Cymru,Swydd Amwythig,"Asgwrn (dynol, plentyn, c. 7 blwydd oed)",AMS,Bryngaer gyda thystiolaeth o weithio metel.,[Heb eu cofnodi],N
"Arfryn, Bodern",CAR-1556,AD600 - AD780,Wales,Isle of Anglesey,[Not recorded],Radiometric,Bronze Age settlement and early medieval cemetery with over 100 burials focused on a grave-free area.,[None recorded],N,,"Arfryn, Bodern",CAR-1556,AD600 - AD780,Cymru,Ynys Môn,[Heb ei gofnodi],Radiometrig,Anheddiad Oes Efydd a mynwent ganoloesol cynnar gyda mwy na 100 claddedigaeth â ffocws ar ardal rhydd rhag beddau.,[Heb eu cofnodi],N
"Arfryn, Bodern",CAR-1557,1420BC - 1020BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age settlement and early medieval cemetery with over 100 burials focused on a grave-free area.,[None recorded],N,,"Arfryn, Bodern",CAR-1557,1420BC - 1020BC,Cymru,Ynys Môn,Golosg,Radiometrig,Anheddiad Oes Efydd a mynwent ganoloesol cynnar gyda mwy na 100 claddedigaeth â ffocws ar ardal rhydd rhag beddau.,[Heb eu cofnodi],N
Bedd Branwen,BM-452,3940BC - 3530BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,BM-452,3940BC - 3530BC,Cymru,Ynys Môn,Golosg,Radiometrig,Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,BM-453,1690BC - 1300BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,BM-453,1690BC - 1300BC,Cymru,Ynys Môn,Golosg,Radiometrig,Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,BM-455,1740BC - 1390BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,BM-455,1740BC - 1390BC,Cymru,Ynys Môn,Golosg,Radiometrig,Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,BM-456,1860BC - 1500BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,BM-456,1860BC - 1500BC,Cymru,Ynys Môn,Golosg,Radiometrig,Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,GrA-19566,2030BC - 1750BC,Wales,Isle of Anglesey,"Cremated bone (human, adult ?male)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,GrA-19566,2030BC - 1750BC,Cymru,Ynys Môn,"Asgwrn amlosgedig (dynol, oedolyn ?gwyrw)",[Heb ei gofnodi],Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,GrA-19642,2140BC - 1770BC,Wales,Isle of Anglesey,"Cremated bone (human, adult)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,GrA-19642,2140BC - 1770BC,Cymru,Ynys Môn,"Asgwrn amlosgedig (dynol, oedolyn)",[Heb ei gofnodi],Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,GrA-19643,2140BC - 1770BC,Wales,Isle of Anglesey,"Cremated bone (human, adult)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,GrA-19643,2140BC - 1770BC,Cymru,Ynys Môn,"Asgwrn amlosgedig (dynol, oedolyn)",[Heb ei gofnodi],Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
