Alun Gaffey,Race Horses
Alun Tan Lan,Euros Childs
Angharad van Rjiswijk,Locus
Aron Jones,Radio Amgen
Ben Herrick,Race Horses
Bill Coyne,Murray the Hump
Brendan O'Hare,Teenage Fanclub
Carrie Anderson,Shy and the Fight
Cenwyn Brain,Gorky's Zygotic Mynci
Christopher Done,Shy and the Fight
Curig Huws,Murray the Hump
Curig Huws,Tystion
Dan Bradley,Race Horses
Dave McGowan,Teenage Fanclub
Dylan Hughes,Race Horses
Euros Childs,Cousins
Euros Childs,Gorky's Zygotic Mynci
Euros Childs,Jonny
Euros Childs,Teenage Fanclub
Euros Childs,Tim's Rice
Euros Rowlands,Gorky's Zygotic Mynci
Finlay MacDonald,Teenage Fanclub
Francis MacDonald,Teenage Fanclub
Gerard Love,Teenage Fanclub
Gruff Meredith,Tystion
Gwion Llewelyn,Race Horses
Gwion Rowlands,Murray the Hump
Jackson Almond,Shy and the Fight
John Lawrence,Gorky's Zygotic Mynci
John Lawrence,Infinity Chimps
John Lawrence,Jaci Williams
John Lawrence,Shy and the Fight
Laura J. Martin,Euros Childs
Lynn Childs,Gorky's Zygotic Mynci
Mali Llywelyn,Race Horses
Matt Swanson,Euros Childs
Matt Swanson,Lambchop
Matthew Evans,Murray the Hump
Meg Myatt,Shy and the Fight
Megan Childs,Euros Childs
Megan Childs,Gorky's Zygotic Mynci
Meilyr Jones,Cousins
Meilyr Jones,Race Horses
Michael Deponeo,Shy and the Fight
Norman Blake,Teenage Fanclub
Osian Evans,Gorky's Zygotic Mynci
Paul Quinn,Teenage Fanclub
Peter Richardson,Euros Childs
Peter Richardson,Gorky's Zygotic Mynci
Raymond McGinley,Teenage Fanclub
Rhodri Puw,Gorky's Zygotic Mynci
Rhydian Jones,Euros Childs
Richard James,Gorky's Zygotic Mynci
Richard James,Locus
Richard James,The Gentle Good
Rosie Smith,Tim's Rice
Sammy Davies,Gorky's Zygotic Mynci
Samuel Williams,Shy and the Fight
Sion Lane,Gorky's Zygotic Mynci
Steffan Cravos,DJ Lambchop
Steffan Cravos,Gorky's Zygotic Mynci
Steffan Cravos,Lo Cut and Sleifar
Steffan Cravos,Lo Cut and Sleifar
Steffan Cravos,Radio Amgen
Steffan Cravos,Tystion
Stephen Black,Euros Childs
Stuart Kidd,Euros Childs
Thomas Hyndman,Shy and the Fight
Tom Wootton,Shy and the Fight
