Year,Month,Day,Time,Town / Village,Area,Occupation_x000D_(Where Relevant),Description,,Blwyddyn,Mis,Dydd,Amser,Tref / Pentref,Ardal,Galwediageth_x000D_(Lle'n Briodol ),Disgrifiad
1997,1,20,19:45,Caernarfon Bay,Caernarfonshire,-,"A huge, blue, fast object in the sky. There was a cloud of smoke and it made the floor shake.",,1997,1,20,0.822916667,Bae Caernarfon,Sir Gaernarfon,-,Gwrthrych glas cyflym enfawr yn yr awyr. Roedd cwmwl o fwg ac fe wnaeth i'r llawr grynu.
1997,1,27,22:40,Newport,South Glamorgan,-,A 'tube of light' coming down from the sky. It first looked like a star moving towards the car. Left a dust cover on the car.,,1997,1,27,0.944444444,Casnewydd,De Morgannwg,-,Tiwb o oleuni' yn dod i lawr o'r awyr. Edrychodd yn gyntaf fel seren yn symud tuag at y car. Gadawodd haen o lwch ar y car.
1997,1,28,20:00,Swansea,Glamorgan,-,Three white lights accompanied by a red light. They seemed to be many miles away.,,1997,1,28,0.833333333,Abertawe,Morgannwg,-,Tri golau gwyn ynghyd â golau coch. Roedden nhw fel petaen nhw'n filltiroedd lawer i ffwrdd.
1997,2,2,07:30,Caerphilly,Mid-Glamorgan,-,"Cigar shaped object, with wings but no tail. Jade green in colour. White lights through windows. Moved in a straight line.",,1997,2,2,0.3125,Caerffili,Morgannwg Ganol,-,"Gwrthrych siâp sigar, gydag adenydd ond dim cynffon. Gwyrdd jâd ei liw. Goleuadau gwyn drwy ffenestri. Symudodd mewn llinell syth."
1997,2,10,09:35,Barry,Glamorgan,-,One oblong object. It was red in the centre and had up to fifteen lights. There was constant movement.,,1997,2,10,0.399305556,Y Barri,Morgannwg,-,Un gwrthrych petryal. Roedd yn goch yn y canol ac roedd ganddo hyd at bymtheg o oleuadau. Roedd symudiad parhaus.
1997,2,14,08:15,Roath/Cardiff,Glamorgan,-,"One, triangular shaped object. A shiny, golden colour. It was moving in a straight line and was fast.",,1997,2,14,0.34375,Y Rhath/Caerdydd,Morgannwg,-,"Un gwrthrych, siâp triongl. Lliw disglair, euraid. Roedd yn symud mewn llinell syth ac roedd yn gyflym."
1997,2,18,22:06,A449/Llanwern/Newport,Monmouthshire,-,There was a cream coloured light.,,1997,2,18,0.920833333,A449/Llanwern/Casnewydd,Sir Fynwy,-,Roedd goleuni lliw hufan.
1997,3,10,03:45,Llanfair Caereinion,Powys,-,A round ball with a tail. Was like a torch with a flare. There was no movement.,,1997,3,10,0.15625,Llanfair Caereinion,Powys,-,Pêl gron gyda chynffon. Roedd fel tortsh gyda fflêr. Doedd dim symudiad.
1997,3,11,20:26,Lynas-Wal/Llaneilian,Isle of Anglesey,-,One object with white and red lights.,,1997,3,11,0.851388889,Lynas-Wal/Llaneilian,Ynys Môn,-,Un gwrthrych gyda goleuadau gwyn a choch.
1997,3,15,20:30,A483/Wrexham-Newtown,Denbighshire,-,"One, large, oval, white and very bright object. The object was straight and level and was moving parallel with the car.",,1997,3,15,0.854166667,A483/Wrecsam-Y Drenewydd,Sir Ddinbych,-,"Un gwrthrych mawr, hirgrwn, gwyn a  llachar iawn. Roedd y gwrthrych yn syth ac yn wastad ac roedd yn symud yn gyfochrog â'r car."
