institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed,,,,Codsefydliad,Enw set ddata,Cyfrif unigol,blwyddyn proseswyd,mis proseswyd,dosbarth proseswyd,trefn proseswyd,teulu proseswyd,genws proseswyd,enwBrodorol proseswyd,enwGwyddonol proseswyd
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Oxychilidae,Aegopinella,Smooth Glass Snail,Aegopinella nitidula,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: molysgiaid anforol (set ddata Atlas 1999),,1965,,Gastropoda,Pulmonata,Oxychilidae,Aegopinella,Smooth Glass Snail,Aegopinella nitidula
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1950,,Gastropoda,Hygrophila,Lymnaeidae,Galba,Dwarf Pond Snail,Galba (Galba) truncatula,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: molysgiaid anforol (set ddata Atlas 1999),,1950,,Gastropoda,Hygrophila,Lymnaeidae,Galba,Dwarf Pond Snail,Galba (Galba) truncatula
NRW,Welsh Invertebrate Database (WID),,2012,6,Gastropoda,Hygrophila,Planorbidae,Anisus,Whirlpool Ramshorn,Anisus (Disculifer) vortex,,,,CNC,Cronfa Ddata Infertebradau Cymru (WID),,2012,6,Gastropoda,Hygrophila,Planorbidae,Anisus,Whirlpool Ramshorn,Anisus (Disculifer) vortex
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2003,7,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Data molysgiaid (morol) am Brydain Fawr ac Iwerddon,,2003,7,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1997,6,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,44075,1997,6,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NT,National Trust Species Records,,2015,6,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum,,,,NT,Cofnodion Rhywogaethau'r Ymddiriedolaeth Genedlaethol,,2015,6,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
Joint Nature Conservation Committee,,,2005,8,Gastropoda,,Trochidae,Gibbula,,Gibbula tumida,,,,Cydbwyllgor Cadwraeth Natur,,,2005,8,Gastropoda,,Trochidae,Gibbula,,Gibbula tumida
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1991,10,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,36434,1991,10,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,1996,7,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,1,1996,7,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Cofnod,NRW Regional Data: North Wales,,2001,4,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule,,,,Cofnod,Data Rhanbarthol CNC: Gogledd Cymru,,2001,4,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
Seasearch,Seasearch Marine Surveys in Wales,,2010,8,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Common whelk,Buccinum undatum,,,,Seasearch,Arolygon Morol Seasearch yng Nghymru,,2010,8,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Common whelk,Buccinum undatum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1995,9,Bivalvia,Veneroida,Donacidae,Donax,Banded wedge-shell,Donax vittatus,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Data molysgiaid (morol) am Brydain Fawr ac Iwerddon,,1995,9,Bivalvia,Veneroida,Donacidae,Donax,Banded wedge-shell,Donax vittatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,5,2004,6,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,5,2004,6,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Natural Resources Wales,,5,2007,4,Bivalvia,Veneroida,Tellinidae,Tellina,Bean-Like Tellin,Tellina fabula,,,,Cyfoeth Naturiol Cymru,,5,2007,4,Bivalvia,Veneroida,Tellinidae,Tellina,Bean-Like Tellin,Tellina fabula
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1881,9,Gastropoda,Hygrophila,Physidae,Aplexa,Moss Bladder Snail,Aplexa hypnorum,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: cofnodion molysgiaid anforol,,1881,9,Gastropoda,Hygrophila,Physidae,Aplexa,Moss Bladder Snail,Aplexa hypnorum
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,7,Gastropoda,Pulmonata,Arionidae,Arion,Dusky Slug,Arion (Mesarion) subfuscus,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: cofnodion molysgiaid anforol,,2016,7,Gastropoda,Pulmonata,Arionidae,Arion,Dusky Slug,Arion (Mesarion) subfuscus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,10,2013,10,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,10,2013,10,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Seasearch,Seasearch Marine Surveys in Wales,,2013,6,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria,,,,Seasearch,Arolygon Morol Seasearch yng Nghymru,,2013,6,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
NRW,Welsh Invertebrate Database (WID),,1988,9,Gastropoda,Pulmonata,Hygromiidae,Zenobiella,Brown Snail,Zenobiella subrufescens,,,,CNC,Cronfa Ddata Infertebradau Cymru (WID),,1988,9,Gastropoda,Pulmonata,Hygromiidae,Zenobiella,Brown Snail,Zenobiella subrufescens
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1963,4,Gastropoda,Pulmonata,Pristilomatidae,Vitrea,Milky Crystal Snail,Vitrea contracta,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: cofnodion molysgiaid anforol,,1963,4,Gastropoda,Pulmonata,Pristilomatidae,Vitrea,Milky Crystal Snail,Vitrea contracta
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,7,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,44075,1990,7,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1993,8,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,36434,1993,8,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1991,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,44075,1991,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,2,Gastropoda,Pulmonata,Arionidae,Arion,Green-soled Slug,Arion (Arion) flagellus,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: cofnodion molysgiaid anforol,,2016,2,Gastropoda,Pulmonata,Arionidae,Arion,Green-soled Slug,Arion (Arion) flagellus
NRW,Welsh Invertebrate Database (WID),1,2002,6,Gastropoda,Pulmonata,Hygromiidae,Ashfordia,Silky Snail,Ashfordia granulata,,,,CNC,Cronfa Ddata Infertebradau Cymru (WID),1,2002,6,Gastropoda,Pulmonata,Hygromiidae,Ashfordia,Silky Snail,Ashfordia granulata
Natural Resources Wales,,5,2000,7,Bivalvia,Veneroida,Mactridae,Mactra,Rayed Trough Shell,Mactra stultorum,,,,Cyfoeth Naturiol Cymru,,5,2000,7,Bivalvia,Veneroida,Mactridae,Mactra,Rayed Trough Shell,Mactra stultorum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,2,Gastropoda,Littorinimorpha,Littorinidae,Melarhaphe,Small Periwinkle,Melarhaphe neritoides,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Data molysgiaid (morol) am Brydain Fawr ac Iwerddon,,2006,2,Gastropoda,Littorinimorpha,Littorinidae,Melarhaphe,Small Periwinkle,Melarhaphe neritoides
Natural Resources Wales,,6,2002,1,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea,,,,Cyfoeth Naturiol Cymru,,6,2002,1,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
SEWBReC,SEWBReC Molluscs (South Wales),,1978,10,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis,,,,SEWBReC,Molysgiaid SEWBReC (De Cymru),,1978,10,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
NRW,Welsh Invertebrate Database (WID),,2012,7,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica,,,,CNC,Cronfa Ddata Infertebradau Cymru (WID),,2012,7,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1992,7,Gastropoda,,Lottiidae,Tectura,White Tortoiseshell Limpet,Tectura virginea,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Data molysgiaid (morol) am Brydain Fawr ac Iwerddon,,1992,7,Gastropoda,,Lottiidae,Tectura,White Tortoiseshell Limpet,Tectura virginea
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1995,10,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,44075,1995,10,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1991,8,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,36434,1991,8,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,4,2016,7,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus,,,,,Prosiect morol gwyddoniaeth dinasyddion Capturing our Coast (CoCoast) - dilyswyd y data drwy iRecord,4,2016,7,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,7,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,44075,1990,7,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Natural Resources Wales,,,2002,6,Bivalvia,Veneroida,Tellinidae,Limecola,Baltic Tellin,Limecola balthica,,,,Cyfoeth Naturiol Cymru,,,2002,6,Bivalvia,Veneroida,Tellinidae,Limecola,Baltic Tellin,Limecola balthica
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2018,9,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica,,,,CNC,Ecoleg D?r Croyw KiEco: Macro-infertebradau Afonydd,1,2018,9,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Seasearch,Seasearch Marine Surveys in Wales,,2008,6,Gastropoda,Nudibranchia,Polyceridae,Polycera,,Polycera faeroensis,,,,Seasearch,Arolygon Morol Seasearch yng Nghymru,,2008,6,Gastropoda,Nudibranchia,Polyceridae,Polycera,,Polycera faeroensis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1950,,Gastropoda,Pulmonata,Cochlicopidae,Cochlicopa,Slippery Moss Snail,Cochlicopa cf. lubrica,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon: molysgiaid anforol (set ddata Atlas 1999),,1950,,Gastropoda,Pulmonata,Cochlicopidae,Cochlicopa,Slippery Moss Snail,Cochlicopa cf. lubrica
CEDaR,Agri-Food and Biosciences Institute Marine Surveys,1,2014,11,Bivalvia,Lucinoida,Lucinidae,Lucinoma,,Lucinoma borealis,,,,CEDaR,Arolygon Morol y Sefydliad Bwyd-Amaeth a Biowyddorau,1,2014,11,Bivalvia,Lucinoida,Lucinidae,Lucinoma,,Lucinoma borealis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1994,8,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Data molysgiaid (morol) am Brydain Fawr ac Iwerddon,,1994,8,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,3,Bivalvia,Veneroida,Veneridae,Dosinia,Smooth Artemis,Dosinia lupinus,,,,Cymdeithas Cregynwyr Prydain Fawr ac Iwerddon,Data molysgiaid (morol) am Brydain Fawr ac Iwerddon,,2004,3,Bivalvia,Veneroida,Veneridae,Dosinia,Smooth Artemis,Dosinia lupinus
SEWBReC,SEWBReC Molluscs (South Wales),,2002,9,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata,,,,SEWBReC,Molysgiaid SEWBReC (De Cymru),,2002,9,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
SEWBReC,SEWBReC Molluscs (South Wales),,2016,5,Bivalvia,Veneroida,Sphaeriidae,Musculium,Lake Orb Mussel,Musculium lacustre,,,,SEWBReC,Molysgiaid SEWBReC (De Cymru),,2016,5,Bivalvia,Veneroida,Sphaeriidae,Musculium,Lake Orb Mussel,Musculium lacustre
