given_nameLabel,lastnameLabel,birthdate,deathdate,nationalityLabel,itemDescription,place_of_birthLabel,educated_atLabel,award_receivedLabel
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,King's College London,Dame Commander of the Order of the British Empire
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,Newnham College,Dame Commander of the Order of the British Empire
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,Queenswood School,Dame Commander of the Order of the British Empire
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,King's College London,honorary doctor of the Peking University
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,Newnham College,honorary doctor of the Peking University
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,Queenswood School,honorary doctor of the Peking University
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,King's College London,honorary doctor of the Chinese University of Hong Kong
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,Newnham College,honorary doctor of the Chinese University of Hong Kong
Alison,Richard,1948-03-01,,United Kingdom,British academic,Bromley,Queenswood School,honorary doctor of the Chinese University of Hong Kong
Amanda,Feild,1943-01-30,,United Kingdom,British activist,,,
Annie,Betts,1884-01-01,1961-01-01,United Kingdom,British apiculturist and expert on bee diseases,,,
Dorothy,Betts,1884-01-01,1961-01-01,United Kingdom,British apiculturist and expert on bee diseases,,,
Becky,Parker,,,United Kingdom,British physicist and physics teacher,,University of Sussex,
Caroline,McMillen,1954-09-23,,United Kingdom,Australian medical and health academic,Belfast,University of Oxford,Fellow of the Australian Academy of Health and Medical Sciences
Caroline,McMillen,1954-09-23,,United Kingdom,Australian medical and health academic,Belfast,University of Cambridge,Fellow of the Australian Academy of Health and Medical Sciences
Caroline,McMillen,1954-09-23,,United Kingdom,Australian medical and health academic,Belfast,University of Oxford,Fellow of the Royal Society of New South Wales
Caroline,McMillen,1954-09-23,,United Kingdom,Australian medical and health academic,Belfast,University of Cambridge,Fellow of the Royal Society of New South Wales
Christina,Miller,1899-08-29,2001-07-16,United Kingdom,Scottish chemist,Coatbridge,University of Edinburgh,Keith Medal
Christina,Miller,1899-08-29,2001-07-16,United Kingdom,Scottish chemist,Coatbridge,Heriot-Watt University,Keith Medal
Christina,Miller,1899-08-29,2001-07-16,United Kingdom,Scottish chemist,Coatbridge,University of Edinburgh,Fellow of the Royal Society of Edinburgh
Christina,Miller,1899-08-29,2001-07-16,United Kingdom,Scottish chemist,Coatbridge,Heriot-Watt University,Fellow of the Royal Society of Edinburgh
Christina,Koning,1954-01-01,,United Kingdom,British writer,Kuala Belait,Girton College,Encore Award
Claire,,1981-01-01,,United Kingdom,British linguist,Dewsbury,University of Lancaster,
Eleanor,Fuchs,1919-01-01,2003-04-11,United Kingdom,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,
Eleanor,Biscoe,1919-01-01,2003-04-11,United Kingdom,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,
Eleanor,Honnywill,1919-01-01,2003-04-11,United Kingdom,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,
Eleanor,Fuchs,1919-01-01,2003-04-11,United Kingdom of Great Britain and Ireland,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,
Eleanor,Biscoe,1919-01-01,2003-04-11,United Kingdom of Great Britain and Ireland,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,
Eleanor,Honnywill,1919-01-01,2003-04-11,United Kingdom of Great Britain and Ireland,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,Officer of the Order of the British Empire
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,Officer of the Order of the British Empire
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,Officer of the Order of the British Empire
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,Officer of the Order of the British Empire
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Officer of the Order of the British Empire
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Officer of the Order of the British Empire
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,Officer of the Order of the British Empire
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,Officer of the Order of the British Empire
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,Officer of the Order of the British Empire
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,Officer of the Order of the British Empire
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Officer of the Order of the British Empire
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Officer of the Order of the British Empire
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,New Zealand 1990 Commemoration Medal
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,New Zealand 1990 Commemoration Medal
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,New Zealand 1990 Commemoration Medal
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,New Zealand 1990 Commemoration Medal
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",New Zealand 1990 Commemoration Medal
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",New Zealand 1990 Commemoration Medal
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,New Zealand 1990 Commemoration Medal
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,New Zealand 1990 Commemoration Medal
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,New Zealand 1990 Commemoration Medal
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,New Zealand 1990 Commemoration Medal
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",New Zealand 1990 Commemoration Medal
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",New Zealand 1990 Commemoration Medal
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,Fellow of the Linnean Society of London
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,Fellow of the Linnean Society of London
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,Fellow of the Linnean Society of London
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,Fellow of the Linnean Society of London
Elizabeth,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Fellow of the Linnean Society of London
Elizabeth,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Fellow of the Linnean Society of London
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,Fellow of the Linnean Society of London
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,Fellow of the Linnean Society of London
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,Fellow of the Linnean Society of London
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,Fellow of the Linnean Society of London
Alice,Flint,1909-05-26,2011-12-07,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Fellow of the Linnean Society of London
Alice,Flint,1909-05-26,2011-12-07,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Fellow of the Linnean Society of London
Elizabeth,Tasker,1980-07-12,,United Kingdom,Astronomer,,Durham University,
Ethel,Bidwell,1919-01-01,2003-01-01,United Kingdom,research scientist in blood coagulation,,,
Evelyn,,1901-08-15,1980-01-31,United Kingdom,present at opening of Tutankhamun's tomb,Highclere Castle,,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom,British X-ray crystallographer,London,University of Manchester,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,University of Manchester,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom,British X-ray crystallographer,London,University of Leeds,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,University of Leeds,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom,British X-ray crystallographer,London,Girton College,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,Girton College,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom,British X-ray crystallographer,London,Victoria University of Manchester,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,Victoria University of Manchester,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom,British X-ray crystallographer,London,Haberdashers' Aske's School for Girls,
Florence,Bell,1913-05-01,2000-11-23,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,Haberdashers' Aske's School for Girls,
Elizabeth,,1850-01-01,,United Kingdom,English pharmacist,,,
Frances,,1850-01-01,,United Kingdom,English pharmacist,,,
Gail,Bradbrook,1972-04-30,,United Kingdom,British scientist,South Elmsall,University of Manchester Institute of Science and Technology,
Helen,Walker,1953-01-02,2017-09-19,United Kingdom,British scientist,,University of St Andrews,
Janet,Garton,1944-02-27,,United Kingdom,British professor of literary science,,,
Joan,,1916-02-26,1999-02-10,Wales,Welsh physicist,Swansea,Newnham College,
Joan,,1916-02-26,1999-02-10,United Kingdom,Welsh physicist,Swansea,Newnham College,
Joan,,1916-02-26,1999-02-10,United Kingdom of Great Britain and Ireland,Welsh physicist,Swansea,Newnham College,
Judith,,1951-01-01,,United Kingdom,Professor of Divinity,Ipswich,University of Oxford,Fellow of the British Academy
Judith,,1951-01-01,,United Kingdom,Professor of Divinity,Ipswich,University of Birmingham,Fellow of the British Academy
Kate,Storey,1960-11-27,,United Kingdom,British developmental biologist,,University of Oxford,Fellow of the Royal Society of Edinburgh
Kate,Storey,1960-11-27,,United Kingdom,British developmental biologist,,University of Oxford,Fellow of the Academy of Medical Sciences
Kate,Storey,1960-11-27,,United Kingdom,British developmental biologist,,University of Oxford,Waddington Medal
Kate,Storey,1960-11-27,,United Kingdom,British developmental biologist,,University of Oxford,Fellow of the Royal Society of Biology
Kate,Maxwell,1979-06-17,,United Kingdom,,Gateshead,University of Glasgow,
Kathleen,,1847-01-01,1966-03-28,United Kingdom,,England,,
Laura,Hewitson,1969-01-01,,United Kingdom,British primatologist,Birmingham,University of Essex,
Libby,Houston,1941-12-09,,United Kingdom,British botanist,North London,University of Bristol,H. H. Bloomer Award
Libby,Houston,1941-12-09,,United Kingdom,British botanist,North London,Lady Margaret Hall,H. H. Bloomer Award
,Wilson,,,United Kingdom,,,,
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Presidential Medal of Freedom
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Presidential Medal of Freedom
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Presidential Medal of Freedom
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Order of the White Lion
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Order of the White Lion
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Order of the White Lion
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Order of Merit
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Order of Merit
