Player,Squad
Laura O'Sullivan,Wales
Claire Skinner,Wales
Olivia Clark,Wales
Sophie Ingle,Wales
Hayley Ladd,Wales
Loren Dykes,Wales
Lily Woodham,Wales
Rhiannon Roberts,Wales
Anna Filbey,Wales
Angharad James,Wales
Jasmine Turner,Wales
Josie Green,Wales
Nadia Lawrence,Wales
Georgia Walters,Wales
Rachel Rowe,Wales
Natasha Harding ,Wales
Megan Wynne,Wales
Chloe Williams,Wales
Kayleigh Green,Wales
Grace Horrell,Wales
Maria Francis-Jones,Wales
Ffion Morgan,Wales
Charlie Estcourt,Wales
Claire Skinner,Cardiff City
Grace Horrell,Cardiff City
Jasmine Turner,Cardiff City
Laura O'Sullivan,Cardiff City
Maria Francis-Jones,Cardiff City
Nadia Lawrence,Cardiff City
Loren Dykes,Cardiff City
Chelsea Jumratie,Cardiff City
Amina Vine,Cardiff City
Shannon Greenway,Cardiff City
Gwennan Davies,Cardiff City
Kelly Isaac,Cardiff City
Olivia Clark,Huddersfield Town
Laura Carter,Huddersfield Town
Beth Stanfield,Huddersfield Town
Shauna Legge,Huddersfield Town
Kate Mallin ,Huddersfield Town
Vicky Abbott,Huddersfield Town
Lauren Griffiths,Huddersfield Town
Katie Nutter,Huddersfield Town
Charley Evans,Huddersfield Town
Sarah Danby,Huddersfield Town
Laura Elford,Huddersfield Town
Brittany Sanderson,Huddersfield Town
Georgia Walters,Blackburn Rovers
Chelsey Jukes,Blackburn Rovers
Kelsey Pearson,Blackburn Rovers
Natasha Fenton,Blackburn Rovers
Saffron Jordan,Blackburn Rovers
Kayleigh McDonald,Blackburn Rovers
Danielle Hill,Blackburn Rovers
Lauren Thomas,Blackburn Rovers
Levi Chambers-Cook,Blackburn Rovers
Ellie Fletcher,Blackburn Rovers
Milly Robertson,Blackburn Rovers
Lauren Perry,Blackburn Rovers
Kayleigh Green,Brighton and Hove Albion
Megan Walsh,Brighton and Hove Albion
Beth Roe,Brighton and Hove Albion
Felicity Gibbons,Brighton and Hove Albion
Danielle Bowman,Brighton and Hove Albion
Laura Rafferty,Brighton and Hove Albion
Aileen Whelan,Brighton and Hove Albion
Kirsty Barton,Brighton and Hove Albion
Lee Geum-min,Brighton and Hove Albion
Danique Kerkdijk,Brighton and Hove Albion
Ellie Brazil,Brighton and Hove Albion
Megan Connolly,Brighton and Hove Albion
Megan Wynne,Bristol City
Sophie Baggaley,Bristol City
Gemma Evans,Bristol City
Jasmine Matthews,Bristol City
Chloe Logarzo,Bristol City
Carla Humphrey,Bristol City
Ebony Salmon,Bristol City
Yana Daniëls,Bristol City
Charlie Wellings,Bristol City
Florence Allen,Bristol City
Meaghan Sargeant,Bristol City
Maisy Collis,Bristol City
Charlie Estcourt,Charlton Athletic
Lillie Maple,Charlton Athletic
Shanell Salgado,Charlton Athletic
Ciara Watling,Charlton Athletic
Rachel Newborough,Charlton Athletic
Grace Coombs,Charlton Athletic
Ellie Dorey,Charlton Athletic
Charley Clifford,Charlton Athletic
Jaime Gotch,Charlton Athletic
Melanie Parreno-Espinosa,Charlton Athletic
Alice Griffiths,Charlton Athletic
Georgia Griffin,Charlton Athletic
Sophie Ingle,Chelsea
Maria Thorisdottir,Chelsea
Hannah Blundell,Chelsea
Millie Bright,Chelsea
Jessica Carter,Chelsea
Melanie Leupolz,Chelsea
Bethany England,Chelsea
Ji So-yun,Chelsea
Guro Reiten,Chelsea
Fran Kirby,Chelsea
Magdalena Eriksson,Chelsea
Jessie Fleming,Chelsea
Ffion Morgan,Coventry United
Chelsea Weston,Coventry United
Sian Johnson,Coventry United
Nikki Miles,Coventry United
Marie Gauntlett,Coventry United
Shannon O'Brien,Coventry United
Amy Wathan,Coventry United
Amber Hughes,Coventry United
Hayley Crackle,Coventry United
Dayna Chong,Coventry United
Helen Dermody,Coventry United
Kate Evans,Coventry United
Angharad James,Reading
Natasha Harding ,Reading
Rachel Rowe,Reading
Lily Woodham,Reading
Kristine Bjordal Leine,Reading
Fara Williams,Reading
Molly Bartrip,Reading
Amalie Eikeland,Reading
Lauren Bruton,Reading
Brooke Chaplen,Reading
Kiera Skeels,Reading
Beth Roberts,Reading
Sophie Quirk,Reading
Rhiannon Stewart,Reading
Deanna Cooper,Reading
Anna Filbey,Tottenham Hotspur
Josie Green,Tottenham Hotspur
Aurora Mikalsen,Tottenham Hotspur
Lucia Leon,Tottenham Hotspur
Ria Percival,Tottenham Hotspur
Kerys Harrop,Tottenham Hotspur
Gemma Davison,Tottenham Hotspur
Chloe Peplow,Tottenham Hotspur
Rianna Dean,Tottenham Hotspur
Rachel Williams,Tottenham Hotspur
Angela Addison,Tottenham Hotspur
Siri Worm,Tottenham Hotspur
