FUM-nr,X,Antal_dele,Emne_ord,Placering,Dansk_navn,Latinsk_navn,Antal_fossiler,Fund_oplysninger,Notater,Lokalitet,Finder,Fossilets_dimensioner,e,Beskaffenhed,Bevaringstilstand,Foto,Bilag,Beskrevet_af,Udlånsstatus,Opbevares,Box_nr.,Status,Kontaktoplysninger
1,,,ins-løvgræshoppe,,ins-løvgræshoppe,,,,,,,,,,,,,G.L,,m + 1A er i m44,,×,
2,,,ins-lus/hel+ 2 ben,,ins-lus/hel+ 2 ben,,,,,,,,,,,,,G.L. Udlånt til S.A. 2003,,,,÷,
3,,,koprolit,,koprolit,,,,,,,,,,,,,G.L. insekt. Bonde 07 -koprolit. obs!!,,m,,×,
4,,,ins-ubek.bladlus/krop+del af vinge,,ins-ubek.bladlus/krop+del af vinge,,,,,,,,,,,,,O. Heie,,m,,×,
5,,,fisk + botanik/kranium+planterest,,fisk + botanik/kranium+planterest,,,,,,,,,,,,,obs!!!,,m,,×,
6,,,fisk-sildefisl/kranium ,,fisk-sildefisl/kranium ,,,,,,,,,,,,,,,m,,×,
7,,,ins-myg/vinge+krop+ben,,ins-myg/vinge+krop+ben,,,,,,,,,,,,,G.L,,m,,×,
8,,,ins-myg/flere vinger+fragm,,ins-myg/flere vinger+fragm,,,,,,,,,,,,,G.L. Obs!!!,,m,,×,
9,,,ins-myg/vinge+krop+ben,,ins-myg/vinge+krop+ben,,,,,,,,,,,,,G.L.,,fandtes ikke v. rev. 04,,÷,
10,,,ins-myg/krop+ben+vinger,,ins-myg/krop+ben+vinger,,,,,,,,,,,,,G.L,,61,,×,
11,,,ins-myg/hel,,ins-myg/hel,,,,,,,,,,,,,G.L. Obs!!!,,m-jalousiskab,,×,
12,,,ins-myg/krop,,ins-myg/krop,,,,,,,,,,,,,G.L,,m,,×,
13,,,ins-myg/del af vinge,,ins-myg/del af vinge,,,,,,,,,,,,,G.L,,m,,×,
14,,,ins-myg/vinge+krop+ben,,ins-myg/vinge+krop+ben,,,,,,,,,,,,,G.L,,m,,×,
15,,,ins-myg/vinger+krop+ben,,ins-myg/vinger+krop+ben,,,,,,,,,,,,,G.L,,fandtes ved rev. 04,,÷,
16,,,ins-myg/del af krop,,ins-myg/del af krop,,,,,,,,,,,,,G.L,,m,,×,
