Vejnavn,Tællested,År,Hastigheds-begrænsning,Gennemsnits- hastighed
,,,,
AGERBÆKSVEJ,sø.f. Åbakken ,2011,50,46
AGERVEJ ,sø.f. Åbakken ,2017,40,23
AJSTRUPVEJ,ø.f. Egeskellet,2011,50,57
AJSTRUP STRANDVEJ,nø.f. Ajstrup Byvej,2015,80,67
ANKER JENSENS VEJ,sv.f. Korsagervej,2018,50,30
ASMUSGÅRDSVEJ,ø.f. Hybenhaven,2013,50,52
ASTERVEJ,ø.f. Vistoftvej,2008,50,45
AUGUSTENBORGGADE,sv.f. Nordborggade,2019,50,35
BAKKEVÆNGET,n.f. Hvedevangen,2015,50,28
BANEGÅRDSGADE,ø.f. Frederiks Allé,2018,50,35
BARTHOLINS ALLE ,s.f. Carl Holst-Knudsens Vej,2016,50,35
BAVNEGÅRDSVEJ ,s.f. Koltvej ,2014,50,49
BEDER LANDEVEJ,n.f. Byagervej,2009,50,49
BEDER LANDEVEJ,s.f. Byagervej,2009,50,56
BEDER LANDEVEJ,sv.f. Agernvænget,2010,50,42
BERGENSGADE,n.f. Oslogade,2018,50,31
BERNHARDT JENSENS BOULEVARD ,s.f. Kristine Nielsens Gade,2017,50,50
BERNHARDT JENSENS BOULEVARD ,n.f. Kristine Nielsens Gade,2018,50,43
BETHESDAVEJ,n.f. Nordvestpassagen ,2016,50,49
BETHESDAVEJ,n.f. Jørgen Brønlunds Vej,2019,50,49
BISPEVEJ,nø.f. Jarlsmindevej,2019,50,42
BJØDSTRUPVEJ,s.f. Axel Gruhns Vej ,2016,50,47
BJØDSTRUPVEJ ,n.f. Slet Møllevej ,2013,50,50
BJØRNHOLMS ALLÉ,sø.f. Åhavevej,2009,50,40
BLOMSTERVEJ,s.f. Marienlystvej,2019,60,38
BONDEHAVEN,n.f. Kløvervangen,2015,50,45
BONDEHAVEN,sv. f. Safirvej,2018,50,51
BONDEHAVEN,sv. f. Gartnerhaven,2010,50,55
BORUM LANDEVEJ,ud for nr. 9,2017,50,53
BORUM LANDEVEJ ,sv.f. Jens Ibsens Vej ,2013,50,54
BRAGESVEJ ,nø.f. Odinsvej ,2015,50,35
BREDGADE,nø.f. Starupvej ,2015,50,38
BREDKÆR TVÆRVEJ,s.f. Bredkærvej,2013,30,26
BREDKÆR TVÆRVEJ ,s.f. Sølystvej,2015,50,26
BRENDSTRUPVEJ,sø.f. Møllevangs Allé,2018,50,44
BROVEJ,sv.f. Egå Strandvej,2011,50,49
BUSHØJVEJ ,n.f. Provsteparkvej ,2012,50,46
BYGHOLMS ALLÉ,nv.f. Bjørnsholms Allé,2018,50,33
BYVÆNGET,s.f. Ormslevvej,2019,50,29
BUSHØJVÆNGET,v.f Lehrus Allé,2017,50,53
BØGGILDSVEJ,n.f. Grimsbrovej,2019,50,36
CAPELLAVEJ ,n.f. Vestavej ,2015,50,37
CARIT ETLARS VEJ , n.f. Silkeborgvej,2015,50,34
CARIT ETLARS VEJ ,s.f. Klokkervej,2012,50,27
CARL BLOCHS GADE,v.f. Skovgaardsgade,2018,50,40
CARSTENSCHIOLDSVEJ ,v.f. Oddervej,2016,50,26
CHRISTIAN X'S VEJ,n.f. Ringvej Syd,2018,60,55
DAGMAR PETERSENS GADE ,sv.f. Kristine Nielsens Gade ,2016,50,45
DAGMAR PETERSENS GADE ,n.f. Kristine Nielsens Gade ,2018,50,42
DAMTOFTEN,nv.f. Damgårdsvej,2016,50,39
DE MEZAS VEJ ,s.f. Vejlegade,2014,50,44
DEGNEBAKKEN,s.f. Klokkervej,2017,50,38
DR. HOLST VEJ ,v.f. St. Blichers Vej ,2015,40,38
DYBROVEJ ,n.f Elverdalsvej,2011,50,31
EDELHOFFVEJ,v.f. Højbyvej,2009,80,62
EDISONVEJ,sv.f. Rosenvangs Allé,2019,50,37
EDWIN RAHRS VEJ ,v.f. Åby Ringvej ,2018,50,45
EDWIN RAHRS VEJ,sv.f. Marconivej,2008,60,60
EDWIN RAHRS VEJ,ø.f. Logistikparken,2018,80,67
EDWIN RAHRS VEJ,ø.f. Herningmotorvejen,2008,60,61
EGÅ MØLLEVEJ,ø.f. Vorregårds Allé,2017,60,52
ELLEMARKSVEJ,ø.f. Jyllands Allé ,2016,50,30
ELLEPARKEN ,ml. nr. 51 og 53 ,2012,50,43
ELLEMOSEVEJ ,s.f. Ellevej ,2012,60,55
ELMOSEVEJ,s.f. Kirkebakken,2009,50,49
ELEVVEJ,ø.f Bysmedevej ,2013,50,44
ELSTEDVEJ ,sv.f. Lille Elstedvej,2012,50,63
ELSTED BYVEJ,v.f. Sønderskovvej,2018,50,37
ELSTED KIRKEVEJ,n.f. Ved Gadekæret,2019,50,27
ELVERDALSVEJ ,sø.f. P. Mønsteds Allé,2010,40,40
ELVERDALSVEJ ,sv.f. Heidesvej,2019,50,39
EMILIEDALSVEJ,ø.f. Emiliedalen ,2017,50,45
ENGDALSVEJ,ø.f. Søvej,2010,50,48
ENGDALSVEJ,v.f. Avnbøgevej,2017,50,43
ENGHAVEVEJ,nø.f. Lundshøjvej,2015,50,48
ENSLEVVEJ,Enslev by,2010,50,33
ERIK BØGHS VEJ,ø.f. Johannes Ewalds Vej,2018,50,30
FALSTERSGADE,nv.f. Fynsgade,2012,50,23
FASTRUPVEJ,v.f. Højlundsparken (nr. 57),2017,50,48
FASTRUPVEJ,n.f. Møddebrovej,2019,50,45
FEBRUARVEJ,v.f. Herredsvej,2008,50,30
FEBRUARVEJ,ø.f. Majvej,2017,50,29
FENRISVEJ ,ved Aarhus Statsgyminasium ,2011,50,47
FORTEVEJ ,sø.f. Liljevej,2011,50,37
FREDENSGÅRDSVEJ,n.f. Boikenvej,2018,50,41
FREDENSGÅRDSVEJ,s.f. Neptunvej,2009,50,34
FREDERIKSHALDSGADE,,2010,50,36
FRIDTJOF NANSENS GADE,n.f. Lauge Kochs Vej ,2013,50,28
FRODESVEJ,s.f. Enggården,2019,50,29
FRØKÆRPARKEN,n.f. Obstrupvej ,2017,50,35
FUGLEBAKKEVEJ,sø.f. Bogfinkevej,2018,50,36
FUGLESANGS ALLE,s.f. Falkevej,2018,50,40
FUGLESØVEJ,n.f. Voldbjergvej ,2014,50,32
FULDENVEJ,s.f. Ballevej,2018,40,43
FUSVADVEJ,v.f. Pindsmøllevej,2009,40,56
FÅRUPVEJ ,n.f. Grønvej ,2016,50,54
FÅRUPVEJ,s.f. Grønvej,2016,50,51
GAMMEL HORSENSVEJ,s.f. Solbjerg Hovedgade / Søvangsvej,2018,80,86
GAMMEL HORSENSVEJ ,sv.f. Kildegårdsvej ,2016,80,51
GAMMEL KIRKEVEJ,v.f. Mølleager,2019,50,29
GAMMEL LANDEVEJ ,n.f. Mosegårdsvangen ,2012,50,51
GAMMEL LANDEVEJ ,s.f. Ågade ,2012,50,43
GAMMEL MOSEVEJ,nv.f. Stillingvej,2018,80,56
GAMMEL MUNKEGADE,n.f. Klostergade,2011,50,27
GAMMEL SILKEBORGVEJ,ø.f. Lilleringvej ,2016,80,67
GAMMEL SILKEBORGVEJ,v.f. rundkørsel ved Lillering,2017,80,58
GAMMEL SILKEBORGVEJ,v.f. Frøkjærvej,2016,80,77
GAMMEL SILKEBORGVEJ,ø.f. Frøkjærvej,2018,80,75
GAMMEL VIBORGVEJ,sø.f. Viborgvej,2008,80,64
GAMMEL VIBORGVEJ,sø.f. Sortevej,2016,70,64
GL. ØSTERGÅRDSVEJ,ø.f. Nyvej,2010,50,39
GENVEJEN,På bro over Østjyske Motorvej,2018,70,73
GENVEJEN,ml. Møllebakken og Aarhus Syd Motorvejen,2018,80,69
GENVEJEN,Mellem Motorveje,2018,80,79
GERTRUD RASKS VEJ ,v.f. Mylius Erichsens Vej ,2017,50,27
GLAMHØJVEJ,ø.f. Lyngby,2008,80,62
GRENÅVEJ,s.f. Risvangs Allé,2018,60,65
GRENÅVEJ,sv.f. Lystrupvej,2018,70,74
GRENÅVEJ,sv.f. Toftegårdsvej,2017,80,76
GRENÅVEJ,s.f. Djurslandmotorvejen ,2019,80,65
GRENÅVEJ,ml. rundkørsler v. Djurslandmotorvejen,2019,80,42
GRENÅVEJ,n.f. Djurslandmotorvejen ,2019,80,54
GRENÅVEJ ,s.f. Bakkely,2012,80,64
GRENÅVEJ ,s.f. Rosenbakken ,2017,50,46
GRUMSTOLSVEJ,s.f. Rensdyrvej ,2012,50,51
GRUMSTOLSVEJ,sø.f. Dådyrvej,2018,50,53
GRÆSVANGEN,ø.f. Vestervænget,2018,50,47
GRØNDALSVEJ,sv.f. Grøfthøjparken,2010,50,45
GRØNNEGADE,nv.f. Nørre Allé,2011,50,32
GRØNNEGADE ,n.f. Thunøgade,2012,50,32
GRØNVEJ,v. nr. 42,2017,80,60
H.V. KAALUNDS VEJ,s.f. Chr. Molbechs Vej,2008,50,35
HACK KAMPMANNS PLADS,n.f. Mindet,2017,50,21
HAMPHØJVEJ ,n.f. Sandmosevej,2015,50,30
HAMPHØJVEJ ,n.f. Brunbakkevej ,2015,50,33
HANS BROGES GADE ,n.f. Fåborgvej ,2017,50,42
HANS EGEDES VEJ,s.f. Otto Sverdrups Vej,2008,50,34
HANS EGEDES VEJ,n.f. Titus Berings Stræde,2019,50,37
HARALD SELMERS VEJ ,v.f. Østre Skovvej,2014,50,44
HARLEV KIRKEVEJ,sø.f. Stillingvej,2019,60,51
HARLEV MØLLEVEJ,sø.f. Tarskovvej ,2016,80,40
HARLEV MØLLEVEJ ,n.f. Tarskovvej,2016,80,49
HASLE RINGVEJ,v.f. Randersvej,2018,70,61
HASLE RINGVEJ (PARALLELVEJ),nø.f. Brendstrupvej,2018,50,44
HASLE RINGVEJ,v.f. Nykersvej,2018,70,61
HASLE RINGVEJ ,n.f. Viborgvej ,2017,70,54
HASLEGÅRDSVEJ,nv.f. Junivej,2019,50,41
HASLEVEJ,s.f. Jørnhøjvej,2008,50,46
HASLEVEJ,n.f. Ludvig Freibergs Vej ,2017,50,43
HAUGESUNDSVEJ,v.f. Frederikshaldsgade,2009,50,29
HAVKÆRVEJ,n.f. Ertebjerg,2009,50,53
HEDESKOVVEJ,n.f. Lyngbakken,2009,50,45
HEJREDALSVEJ,n.f. Naurvej ,2017,50,57
HELENELYST ,s.f. indkørsel til nr. 5-67 ,2017,50,43
HELENELYST,sv.f. stikvej til nr. 156-234 ,2017,50,42
HELGE RODES VEJ ,sø.f. Møllevangs Allé ,2015,50,35
HENRIK HERTZ VEJ,sø.f. Silkeborgvej,2012,50,41
HERREDSVEJ,s.f. Paludan-Müllers Vej,2015,60,57
HESTEHAVEVEJ,nø.f. Rørmosevej,2018,50,35
HJORTSHØJ MØLLEVEJ,sv.f. stikvej til nr. 128-148,2019,50,41
HJORTSHØJ STATIONSVEJ,sv.f. Sensommervej,2019,50,43
HJULBJERGVEJ,ø.f. Kvædevej ,2012,50,53
HOLME PARKVEJ,s.f. Ringvej Syd,2008,50,39
HOLME RINGVEJ ,ved viadukt,2017,50,52
HOLME RINGVEJ ,n.f. Pihlkærsvej ,2016,50,46
HOLMEGÅRDSVEJ,n.f. Marslevvej,2017,50,45
HOVEDVEJEN,v.f. Kolt Kirkevej,2016,70,67
HOVEDVEJEN,sv.f. Torshøjvej,2018,80,69
HOVVEJEN,sø.f. Enslevvej,2018,60,62
HUNDKÆRVEJ,sv.f. Løvagervej,2019,50,38
HVIDBJERGVEJ,udfor nr. 17 (Ølsted),2011,50,26
HYRDEDAMSVEJ ,ø.f. Hvedebjergvej ,2016,50,40
HÆSTVEJ,v.f. Klokbakken,2018,80,69
HØEGH-GULDBERGS GADE,nv.f. Sølystgade,2012,50,26
HØGEMOSEVEJ,n.f. Søftenvej,2018,70,41
HØGEMOSEVEJ,n.f. Djurslandmotorvejen ,2018,70,51
HØJSKOLEVEJ ,n.f. Viborgvej,2012,50,38
HØJVANGSVEJ,ml. Jarlsmindevej og Klokkeskovvej,2019,50,40
HØRGÅRDSVEJ,s.f. Solsikkevej,2013,50,49
HØRHAVEVEJ ,ml. indkørsler til Emiliehøj ,2017,50,46
HØRHAVEVEJ,v.f. Hermelinvej,2011,50,45
HØRHAVEVEJ,ø.f. Hermelinvej,2019,50,43
HØRMARKSVEJ ,nv.f. Nordre Strandvej ,2011,50,32
HØRRETLØKKEN ,v.f. Hørretvej ,2017,40,44
HØRRETVEJ ,s.f. Hørretløkken ,2018,40,43
HØRRETVEJ ,n.f. Præstegårdsvej ,2017,40,43
HØRRETVEJ ,s.f. Præstegårdsvej,2017,40,42
I.P. JACOBSENS VEJ ,ø.f. J.L. Heibergs Vej ,2011,50,39
I.P. JACOBSENS VEJ ,v.f. Åby Bækgårdsvej,2016,50,38
J.P. LARSENS VEJ,Ved nr. 15a,2010,50,53
JARLSMINDEVEJ,nv.f. Rosendalvej,2018,50,48
JARLSMINDEVEJ,n.f. Højvangsvej,2019,50,48
JELSHØJVEJ,n.f Hørretvej ,2017,40,46
JEPPE AAKJÆRS VEJ,s.f. Dr. Holsts Vej,2017,50,37
JERNALDERVEJ,ø.f. adgang til Hasle bakker,2010,60,64
JOHANNES EWALDS VEJ,nv.f. Jacob Knudsens Vej,2017,50,34
JUNIVEJ,n.f. Januarvej,2019,50,30
JYLLANDS ALLÉ,s.f. Ellemarksvej ,2014,50,52
JÆGERGÅRDSGADE,v.f. Strandvejen,2018,50,26
KALØVEJ,ø.f. Bals Mark,2018,80,76
KANKBØLLEVEJ,nø.f. Skovager,2019,50,34
KASTED BYVEJ,ved nr. 7 ,2018,40,30
KASTEDVEJ,n.f.Tilst Østervej,2018,50,48
KATRINEBJERGVEJ ,ø.f. Møllevangs Allé,2015,50,49
KETTING PARKVEJ,n.f. Rundkørsel (vej til nr. 10-56),2018,50,51
KILEPARKEN ,sv.f. Havkærvej ,2013,50,45
KIRKEBAKKEN,ø.f. Kirkemarken,2018,50,44
KIRKEHOLTVEJ,v.f. Segaltvej,2018,80,66
