FID,id,toilet_lokalitet,adresse,toilet_type,toilet_betegnelse,handicapadgang,design,helaarsaabent,aabent_april_sept,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,doegnaabent,bemaerkning,registreret_dato,rettet_dato,longitude,latitude,wkb_geometry
toilet_tmf_kk.1,45,Rådhuspladsen,"Rådhuspladsen 3, 1599 København V",Opsyn,Toilet med personale og handicapadgang,Ja,Skur,Ja,,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Lukket til sommeren 2019,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2002-11-13T00:00:00,2019-03-04T13:02:08.984,12.568555,55.676169,MULTIPOINT ((12.56855453222624 55.6761688403251))
toilet_tmf_kk.2,168,Nyhavn,"Nyhavn 1F, 1051 København K",Opsyn,Toilet med personale,Ja,Underjordisk,Ja,,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2002-11-13T00:00:00,2018-07-24T10:41:34.517,12.587758,55.680573,MULTIPOINT ((12.587758447732242 55.680572606029195))
toilet_tmf_kk.3,54,Vigerslevparken Nord,"Engdraget 24, 2500 Valby",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.480273,55.669723,MULTIPOINT ((12.480273182175992 55.66972285414592))
toilet_tmf_kk.4,55,Rødegårdsparken,"Rødegård 8A, 2300 København S",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.611136,55.661051,MULTIPOINT ((12.611135718149878 55.66105152531239))
toilet_tmf_kk.5,70,Solkrogen,"Solkrogen  8, 2700 Brønshøj",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-11T00:00:00,2018-05-14T11:00:19.615,12.509584,55.703179,MULTIPOINT ((12.509584052999767 55.70317912039282))
toilet_tmf_kk.6,71,Brønshøjparken,"Hyrdevangen 1, 2400 København NV",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-11T00:00:00,2018-05-14T11:00:19.615,12.510322,55.707316,MULTIPOINT ((12.51032196761098 55.707316523404586))
toilet_tmf_kk.7,72,"Damhusdæmningen,  Engen","Damhusdæmningen 14, 2720 Vanløse",Park,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.468016,55.682449,MULTIPOINT ((12.4680159995384 55.6824493007537))
toilet_tmf_kk.8,73,"Damhusdæmningen, v. kiosk","Damhusdæmningen 2a, 2720 Vanløse",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.473101,55.68157,MULTIPOINT ((12.473101004813746 55.68156957844119))
toilet_tmf_kk.9,74,Hans Tavsens Park,"Hans Tavsens Gade 20, 2200 København N",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.548019,55.688641,MULTIPOINT ((12.548019134649728 55.68864104434014))
toilet_tmf_kk.10,75,Lersøparken,"Bispebjerg Bakke 12, 2400 København NV",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-11T00:00:00,2018-05-14T11:00:19.615,12.542855,55.709717,MULTIPOINT ((12.542854546326767 55.70971734848466))
