Polly Garter,Arthur Spit
Polly Garter,Baby Garter
Polly Garter,Bob Spit
Polly Garter,Captain Cat
Polly Garter,Fred Spit
Polly Garter,Mr Mog Edwards
Polly Garter,Mr Waldo
Polly Garter,Reverend Jenkins
Mr Mog Edwards,Miss Myfanwy Price
Mr Mog Edwards,Mr Waldo
Mr Mog Edwards,Reverend Jenkins
Mr Mog Edwards,Sinbad Sailors
Mr Mog Edwards,Willy Nilly
Cherry Owen,Mr Mog Edwards
Cherry Owen,Mrs Cherry Owen
Cherry Owen,Organ Morgan
Cherry Owen,Sinbad Sailors
Nogood Boyo,Mrs Dai Bread Two
Nogood Boyo,Mrs Floyd
Nogood Boyo,Mrs Samuels
Mr Waldo,Lily Smalls
Mr Waldo,Sinbad Sailors
Mr Waldo,Willy Nilly
Rosie Propert,Captain Cat
Rosie Propert,Tom-Fred the donkeyman
Baby Morris,Mr Waldo
Blodwen Waldo (nee Bowen),Mr Waldo
Dulcie Prothero,Mr Waldo
Effie Bevan,Mr Waldo
Lil the Gluepot,Mr Waldo
Matti Richards,Mr Waldo
Mr Waldo's mother,Mr Waldo
Mrs Beattie Morris,Mr Waldo
Mrs Flusher,Mr Waldo
Gossamer Benyon,Sinbad Sailors
Mary Ann Sailors,Sinbad Sailors
Organ Morgan,Gossamer Benyon
Organ Morgan,Mrs Organ Morgan
Mrs Beattie Morris,Baby Morris
Mr Pugh,Mrs Organ Morgan
Mr Pugh,Mrs Pugh
Mr Butcher Benyon,Lily Smalls
Mr Butcher Benyon,Mrs Butcher Benyon
Dai Bread,Mrs Dai Bread One
Dai Bread,Mrs Dai Bread Two
Bob Spit,Arthur Spit
Bob Spit,Fred Spit
Billy Swansea,Gwennie
Billy Swansea,Maggie Richards
Bessie Bighead,Gomer Owen
Bessie Bighead,Utah Watkins
Ocky Milkman,Mrs Ocky Milkman
Mrs Willy Nilly,Willy Nilly
Mrs Utah Watkins,Utah Watkins
Tom-Fred the donkeyman,Captain Cat
Mrs Rose Cottage,Willy Nilly
Mrs Pugh,Willy Nilly
Mrs Ogmore-Pritchard,Willy Nilly
Mrs Dai Bread One,Mrs Dai Bread Two
Mrs Dai Bread Two,Jack Black
Mr Ogmore,Mrs Ogmore-Pritchard
Mr Pritchard,Mrs Ogmore-Pritchard
Miss Myfanwy Price,Willy Nilly
Mrs Butcher Benyon,Lily Smalls
Auntie Blossom,Mrs Cherry Owen
Curly Bevan,Captain Cat
Dancing Williams,Captain Cat
Johnie Cristo,Gwennie
Jonah Jarvis,Captain Cat
Mrs Rose Cottage,Mae Rose Cottage
Mr Butcher Benyon,Billy Benyon
Mrs Butcher Benyon,Billy Benyon
