Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death,,,Tîm,Safle ar y tîm,Gwlad Dinasyddiaeth,Enw a Roddir,Enw Teulu ,Dyddiad Geni,Dyddiad Marwolaeth,Rhyw,Man Geni,Man Marwolaeth
Oldham Roughyeds,centre,Wales,Donald,,06/02/1932,17/09/1989,male,Newbridge,Wakefield,,,Oldham Roughyeds,Canolwr,Cymru,Donald,,06/02/1932,17/09/1989,gwryw,Trecelyn,Wakefield
Newbridge RFC,centre,Wales,Donald,,06/02/1932,17/09/1989,male,Newbridge,Wakefield,,,Clwb Rygbi Trecelyn ,Canolwr,Cymru,Donald,,06/02/1932,17/09/1989,gwryw,Trecelyn,Wakefield
Great Britain national rugby league team,centre,Wales,Donald,,06/02/1932,17/09/1989,male,Newbridge,Wakefield,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,Canolwr,Cymru,Donald,,06/02/1932,17/09/1989,gwryw,Trecelyn,Wakefield
Wakefield Trinity,centre,Wales,Donald,,06/02/1932,17/09/1989,male,Newbridge,Wakefield,,,Wakefield Trinity,Canolwr,Cymru,Donald,,06/02/1932,17/09/1989,gwryw,Trecelyn,Wakefield
Oldham Roughyeds,centre,United Kingdom,Donald,,06/02/1932,17/09/1989,male,Newbridge,Wakefield,,,Oldham Roughyeds,Canolwr,Y Deyrnas Unedig,Donald,,06/02/1932,17/09/1989,gwryw,Trecelyn,Wakefield
Newbridge RFC,centre,United Kingdom,Donald,,06/02/1932,17/09/1989,male,Newbridge,Wakefield,,,Clwb Rygbi Trecelyn ,Canolwr,Y Deyrnas Unedig,Donald,,06/02/1932,17/09/1989,gwryw,Trecelyn,Wakefield
Great Britain national rugby league team,centre,United Kingdom,Donald,,06/02/1932,17/09/1989,male,Newbridge,Wakefield,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,Canolwr,Y Deyrnas Unedig,Donald,,06/02/1932,17/09/1989,gwryw,Trecelyn,Wakefield
Wakefield Trinity,centre,United Kingdom,Donald,,06/02/1932,17/09/1989,male,Newbridge,Wakefield,,,Wakefield Trinity,Canolwr,Y Deyrnas Unedig,Donald,,06/02/1932,17/09/1989,gwryw,Trecelyn,Wakefield
Oldham Roughyeds,,Wales,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Oldham Roughyeds,,Cymru,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Broughton Rangers,,Wales,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Broughton Rangers,,Cymru,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
