given_nameLabel,lastnameLabel,birthdate,deathdate,nationalityLabel,itemDescription,place_of_birthLabel,educated_atLabel,award_receivedLabel,,,,enw_aroddirLabel,cyfenwLabel,dyddiadgeni,dyddiadmarwolaeth,cenedligrwyddLabel,eitemDisgrifiad,man_geniLabel,addysgwyd_ynLabel,wobr_a dderbyniwydLabel
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,King's College London,Dame Commander of the Order of the British Empire,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Coleg y Brenin Llundain,Y Fonesig Gadlywydd Urdd yr Ymerodraeth Brydeinig 
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,Newnham College,Dame Commander of the Order of the British Empire,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Coleg Newnham,Y Fonesig Gadlywydd Urdd yr Ymerodraeth Brydeinig 
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,Queenswood School,Dame Commander of the Order of the British Empire,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Ysgol Queenswood ,Y Fonesig Gadlywydd Urdd yr Ymerodraeth Brydeinig 
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,King's College London,honorary doctor of the Peking University,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Coleg y Brenin Llundain,doethur er anrhydedd Prifysgol Peking 
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,Newnham College,honorary doctor of the Peking University,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Coleg Newnham,doethur er anrhydedd Prifysgol Peking 
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,Queenswood School,honorary doctor of the Peking University,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Ysgol Queenswood ,doethur er anrhydedd Prifysgol Peking 
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,King's College London,honorary doctor of the Chinese University of Hong Kong,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Coleg y Brenin Llundain,doethur er anrhydedd Prifysgol Tsein�aidd Hong Kong
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,Newnham College,honorary doctor of the Chinese University of Hong Kong,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Coleg Newnham,doethur er anrhydedd Prifysgol Tsein�aidd Hong Kong
Alison,Richard,01/03/1948,,United Kingdom,British academic,Bromley,Queenswood School,honorary doctor of the Chinese University of Hong Kong,,,,Alison,Richard,01/03/1948,,Y Deyrnas Unedig,Academydd Prydeinig ,Bromley,Ysgol Queenswood ,doethur er anrhydedd Prifysgol Tsein�aidd Hong Kong
Amanda,Feild,30/01/1943,,United Kingdom,British activist,,,,,,,Amanda,Feild,30/01/1943,,Y Deyrnas Unedig,Actifydd Prydeinig ,,,
