Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death
Oldham Roughyeds,centre,Wales,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Newbridge RFC,centre,Wales,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Great Britain national rugby league team,centre,Wales,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Wakefield Trinity,centre,Wales,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Oldham Roughyeds,centre,United Kingdom,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Newbridge RFC,centre,United Kingdom,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Great Britain national rugby league team,centre,United Kingdom,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Wakefield Trinity,centre,United Kingdom,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Oldham Roughyeds,,Wales,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Broughton Rangers,,Wales,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Great Britain national rugby league team,,Wales,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Wales national rugby league team,,Wales,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Swansea RFC,,Wales,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Oldham Roughyeds,,United Kingdom,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Broughton Rangers,,United Kingdom,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Great Britain national rugby league team,,United Kingdom,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Wales national rugby league team,,United Kingdom,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Swansea RFC,,United Kingdom,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Oldham Roughyeds,,United Kingdom of Great Britain and Ireland,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Broughton Rangers,,United Kingdom of Great Britain and Ireland,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Swansea RFC,,United Kingdom of Great Britain and Ireland,Doug,Phillips,1919-06-28,2000-04-28,male,Neath,
Blackheath F.C.,lock,Wales,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
London Welsh RFC,lock,Wales,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Cardiff RFC,lock,Wales,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Wales national rugby union team,lock,Wales,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Barbarians,lock,Wales,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Blackheath F.C.,lock,United Kingdom,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
London Welsh RFC,lock,United Kingdom,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Cardiff RFC,lock,United Kingdom,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Wales national rugby union team,lock,United Kingdom,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Barbarians,lock,United Kingdom,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Blackheath F.C.,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
London Welsh RFC,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Cardiff RFC,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Wales national rugby union team,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Barbarians,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,1955-01-05,male,Swansea,London
Wales national under-18 rugby union team,,Wales,Ed,Shervington,1985-03-11,,male,Newport,
Worcester Warriors,,Wales,Ed,Shervington,1985-03-11,,male,Newport,
Gloucester Rugby,,Wales,Ed,Shervington,1985-03-11,,male,Newport,
Ospreys,,Wales,Shaun,Connor,1975-11-20,,male,Panteg,
Dragons,,Wales,Shaun,Connor,1975-11-20,,male,Panteg,
Wales national rugby league team,scrum-half,Wales,Sidney,,1891-01-01,1959-01-01,male,Swansea,Swansea
Wigan Warriors,scrum-half,Wales,Sidney,,1891-01-01,1959-01-01,male,Swansea,Swansea
Swansea RFC,scrum-half,Wales,Sidney,,1891-01-01,1959-01-01,male,Swansea,Swansea
Scarlets,,Wales,Simon,Gardiner,1990-10-02,,male,Haverfordwest,
