Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
Henbury Level,OxA-17441,5210BC - 4840BC,Wales,South Gloucestershire,Plant material (common reed),AMS,Mid-Roman interconnecting enclosures and droveways.,[None recorded],N
Henbury Level,OxA-17583,1020BC - 840BC,Wales,South Gloucestershire,Plant material (common reed),AMS,Mid-Roman interconnecting enclosures and droveways.,[None recorded],N
Henbury Level,OxA-17584,3970BC - 3790BC,Wales,South Gloucestershire,Plant material (common reed),AMS,Mid-Roman interconnecting enclosures and droveways.,[None recorded],N
Llanymynech,CAR-1353,540BC - 190BC,Wales,Shropshire,Peat,Radiometric,Palaeoenvironmental study linked to hillfort.,[None recorded],N
Llanymynech,CAR-1354,10470BC - 9670BC,Wales,Shropshire,Peat,Radiometric,Palaeoenvironmental study linked to hillfort.,[None recorded],N
Llanymynech,CAR-534,200BC - AD130,Wales,Shropshire,"Charcoal (twigs, <10 years growth)",Radiometric,Hillfort with evidence of metalworking.,[None recorded],N
Llanymynech,CAR-535,400BC - 40BC,Wales,Shropshire,Charcoal,Radiometric,Hillfort with evidence of metalworking.,[None recorded],N
Llanymynech,OxA-6824,750BC - 370BC,Wales,Shropshire,"Bone (human, child, c. 7 years old)",AMS,Hillfort with evidence of metalworking.,[None recorded],N
"Arfryn, Bodern",CAR-1556,AD600 - AD780,Wales,Isle of Anglesey,[Not recorded],Radiometric,Bronze Age settlement and early medieval cemetery with over 100 burials focused on a grave-free area.,[None recorded],N
"Arfryn, Bodern",CAR-1557,1420BC - 1020BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age settlement and early medieval cemetery with over 100 burials focused on a grave-free area.,[None recorded],N
Bedd Branwen,BM-452,3940BC - 3530BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,BM-453,1690BC - 1300BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,BM-455,1740BC - 1390BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,BM-456,1860BC - 1500BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,GrA-19566,2030BC - 1750BC,Wales,Isle of Anglesey,"Cremated bone (human, adult ?male)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,GrA-19642,2140BC - 1770BC,Wales,Isle of Anglesey,"Cremated bone (human, adult)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,GrA-19643,2140BC - 1770BC,Wales,Isle of Anglesey,"Cremated bone (human, adult)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,GrA-19650,2040BC - 1690BC,Wales,Isle of Anglesey,Cremated bone (human),[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,GrA-19652,2030BC - 1690BC,Wales,Isle of Anglesey,"Cremated bone (human, adult male)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bedd Branwen,GrA-19657,2140BC - 1770BC,Wales,Isle of Anglesey,"Cremated bone (human, adult)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N
Bodwrog,OxA-4652,980BC - 800BC,Wales,Isle of Anglesey,"Wood (willow / poplar, haft)",AMS,Radiocarbon dating of a bronze gouge.,[None recorded],N
Bryn Cefni,Beta-164490,1490BC - 1110BC,Wales,Isle of Anglesey,"Wood (hazel, timber, trough, charred)",[Not recorded],Excavation of a burnt mound.,[None recorded],N
Bryn Cefni,Beta-168011,1430BC - 1210BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Excavation of a burnt mound.,[None recorded],N
Bryn Cefni,Beta-168012,1630BC - 1320BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Excavation of a burnt mound.,[None recorded],N
Bryn Cefni,Beta-168013,1430BC - 1010BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Excavation of a burnt mound.,[None recorded],N
