institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Oxychilidae,Aegopinella,Smooth Glass Snail,Aegopinella nitidula
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1950,,Gastropoda,Hygrophila,Lymnaeidae,Galba,Dwarf Pond Snail,Galba (Galba) truncatula
NRW,Welsh Invertebrate Database (WID),,2012,6,Gastropoda,Hygrophila,Planorbidae,Anisus,Whirlpool Ramshorn,Anisus (Disculifer) vortex
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2003,7,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1997,6,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NT,National Trust Species Records,,2015,6,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
Joint Nature Conservation Committee,,,2005,8,Gastropoda,,Trochidae,Gibbula,,Gibbula tumida
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1991,10,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,1996,7,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Cofnod,NRW Regional Data: North Wales,,2001,4,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
Seasearch,Seasearch Marine Surveys in Wales,,2010,8,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Common whelk,Buccinum undatum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1995,9,Bivalvia,Veneroida,Donacidae,Donax,Banded wedge-shell,Donax vittatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,5,2004,6,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Natural Resources Wales,,5,2007,4,Bivalvia,Veneroida,Tellinidae,Tellina,Bean-Like Tellin,Tellina fabula
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1881,9,Gastropoda,Hygrophila,Physidae,Aplexa,Moss Bladder Snail,Aplexa hypnorum
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,7,Gastropoda,Pulmonata,Arionidae,Arion,Dusky Slug,Arion (Mesarion) subfuscus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,10,2013,10,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Seasearch,Seasearch Marine Surveys in Wales,,2013,6,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
NRW,Welsh Invertebrate Database (WID),,1988,9,Gastropoda,Pulmonata,Hygromiidae,Zenobiella,Brown Snail,Zenobiella subrufescens
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1963,4,Gastropoda,Pulmonata,Pristilomatidae,Vitrea,Milky Crystal Snail,Vitrea contracta
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,7,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1993,8,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1991,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,2,Gastropoda,Pulmonata,Arionidae,Arion,Green-soled Slug,Arion (Arion) flagellus
NRW,Welsh Invertebrate Database (WID),1,2002,6,Gastropoda,Pulmonata,Hygromiidae,Ashfordia,Silky Snail,Ashfordia granulata
Natural Resources Wales,,5,2000,7,Bivalvia,Veneroida,Mactridae,Mactra,Rayed Trough Shell,Mactra stultorum
