Player, Team
Sergio Romero,Manchester United
Sergio Romero,Monaco
Sergio Romero,Sampdoria
Sergio Romero,AZ
Sergio Romero,Racing Club
Ezequiel Garay,Newell's Old Boys
Ezequiel Garay,Racing Santander
Ezequiel Garay,Real Madrid
Ezequiel Garay,Benfica
Ezequiel Garay,Zenit St. Petersburg
Ezequiel Garay,Valencia
Hugo Campagnaro,Deportivo Morón
Hugo Campagnaro,Piacenza
Hugo Campagnaro,Sampdoria
Hugo Campagnaro,Napoli
Hugo Campagnaro,Internazionale
Hugo Campagnaro,Pescara
Pablo Zabaleta,San Lorenzo
Pablo Zabaleta,Espanyol
Pablo Zabaleta,Manchester City
Fernando Gago,Boca Juniors
Fernando Gago,Real Madrid
Fernando Gago,Roma
Fernando Gago,Valencia
Fernando Gago,Vélez Sársfield
Lucas Biglia,Argentinos Juniors
Lucas Biglia,Independiente
Lucas Biglia,Anderlecht
Lucas Biglia,Lazio
Ángel Di María,Rosario Central
Ángel Di María,Benfica
Ángel Di María,Real Madrid
Ángel Di María,Manchester United
Ángel Di María,Paris Saint-Germain
Enzo Pérez,Godoy Cruz
Enzo Pérez,Estudiantes
Enzo Pérez,Benfica
Enzo Pérez,Estudiantes
Enzo Pérez,Valencia
Gonzalo Higuaín,River Plate
Gonzalo Higuaín,Real Madrid
Gonzalo Higuaín,Napoli
Gonzalo Higuaín,Juventus
Lionel Messi,Barcelona C
Lionel Messi,Barcelona B
Lionel Messi,Barcelona
Maxi Rodríguez,Newell's Old Boys
Maxi Rodríguez,Espanyol
Maxi Rodríguez,Atlético Madrid
Maxi Rodríguez,Liverpool
Agustín Orión,San Lorenzo
Agustín Orión,Estudiantes LP
Agustín Orión,Boca Juniors
Agustín Orión,Racing Club
Augusto Fernández,River Plate
Augusto Fernández,Saint-Étienne
Augusto Fernández,Vélez Sársfield
Augusto Fernández,Celta
Augusto Fernández,Atlético Madrid
Javier Mascherano,River Plate
Javier Mascherano,Corinthians
Javier Mascherano,West Ham United
Javier Mascherano,Liverpool
Javier Mascherano,Barcelona
Martín Demichelis,River Plate
Martín Demichelis,Bayern Munich
Martín Demichelis,Bayern Munich II
Martín Demichelis,Málaga
Martín Demichelis,Atlético Madrid
Martín Demichelis,Manchester City
Martín Demichelis,Espanyol
Marcos Rojo,Estudiantes LP
Marcos Rojo,Spartak Moscow
Marcos Rojo,Sporting CP
Marcos Rojo,Manchester United
Federico Fernández,Estudiantes
Federico Fernández,Napoli
Federico Fernández,Getafe
Federico Fernández,Swansea City
Rodrigo Palacio,Huracán de Tres Arroyos
Rodrigo Palacio,Banfield
Rodrigo Palacio,Boca Juniors
Rodrigo Palacio,Genoa
Rodrigo Palacio,Internazionale
Ricky Álvarez,Vélez Sársfield
Ricky Álvarez,Internazionale
Ricky Álvarez,Sunderland
Ricky Álvarez,Sampdoria
Sergio Agüero,Independiente
Sergio Agüero,Atlético Madrid
Sergio Agüero,Manchester City
Mariano Andújar,Huracán
Mariano Andújar,Palermo
Mariano Andújar,Estudiantes
Mariano Andújar,Catania
Mariano Andújar,Napoli
Ezequiel Lavezzi,Estudiantes
Ezequiel Lavezzi,Genoa
Ezequiel Lavezzi,San Lorenzo
Ezequiel Lavezzi,Napoli
Ezequiel Lavezzi,Paris Saint-Germain
Ezequiel Lavezzi,Hebei China Fortune
José María Basanta,Olimpo
José María Basanta,Estudiantes
José María Basanta,Monterrey
José María Basanta,Fiorentina
