fecha,mes,tempMaxC,tempMinC,humedad,presión (mBar),VelDeVientoMax (kph),Precip (cm),nubes,eventos,VientoDir
"Jan 1, 2014",1,27.2,20.6,58,1013,27.2,0,2,,95
"Jan 2, 2014",1,27.2,20,64,1013,35.2,0,3,,93
"Jan 3, 2014",1,28.9,18.9,54,1012,32,0,2,,90
"Jan 4, 2014",1,30,18.3,59,1013,25.6,0,2,,115
"Jan 5, 2014",1,27.8,19.4,63,1013,38.4,0,2,,78
"Jan 6, 2014",1,28.3,19.4,56,1014,25.6,0,3,,80
"Jan 7, 2014",1,27.2,17.8,61,1015,25.6,0,5,,85
"Jan 8, 2014",1,30,17.2,60,1015,28.8,0,2,,107
"Jan 9, 2014",1,27.8,18.9,61,1015,24,0,5,,96
"Jan 10, 2014",1,27.8,18.9,56,1014,40,0,2,,86
"Jan 11, 2014",1,27.2,16.7,58,1015,28.8,0,1,,92
"Jan 12, 2014",1,27.2,18.9,59,1015,36.8,0,1,,84
"Jan 13, 2014",1,28.3,19.4,56,1014,25.6,0,1,,92
"Jan 14, 2014",1,28.9,19.4,57,1014,38.4,0,2,,91
"Jan 15, 2014",1,28.9,17.2,50,1014,27.2,0,1,,87
"Jan 16, 2014",1,27.8,18.9,58,1013,28.8,0,1,,88
"Jan 17, 2014",1,28.9,18.9,62,1013,43.2,0,4,Lluvia,92
"Jan 18, 2014",1,27.2,19.4,56,1014,32,0,2,,95
"Jan 19, 2014",1,28.3,19.4,60,1016,27.2,0,1,,94
"Jan 20, 2014",1,30,19.4,65,1015,43.2,0.025,4,Lluvia,97
"Jan 21, 2014",1,25,18.3,64,1015,25.6,0,6,Lluvia,88
"Jan 22, 2014",1,27.2,18.9,58,1015,32,0,3,,92
"Jan 23, 2014",1,27.2,18.3,51,1015,27.2,0,1,,91
"Jan 24, 2014",1,28.3,17.2,53,1015,27.2,0,1,,93
"Jan 25, 2014",1,27.8,17.2,53,1016,27.2,0,4,,97
"Jan 26, 2014",1,28.9,18.3,49,1014,24,0,1,,99
"Jan 27, 2014",1,29.4,17.8,53,1013,22.4,0,1,,102
"Jan 28, 2014",1,30,18.3,52,1014,27.2,0,2,,103
"Jan 29, 2014",1,28.9,16.7,54,1014,38.4,0,1,,93
"Jan 30, 2014",1,27.8,17.2,55,1014,44.8,0,2,,91
"Jan 31, 2014",1,27.8,16.7,50,1013,32,0,2,,95
"Feb 1, 2014",2,28.3,16.1,49,1013,22.4,0,2,,91
"Feb 2, 2014",2,30,17.8,58,1013,27.2,0,3,,93
"Feb 3, 2014",2,28.9,18.3,58,1014,22.4,0,4,,100
"Feb 4, 2014",2,29.4,17.2,54,1014,,0,3,,100
"Feb 5, 2014",2,28.9,18.9,57,1014,35.2,0,2,,98
"Feb 6, 2014",2,28.3,18.3,49,1015,25.6,0,5,,95
"Feb 7, 2014",2,28.3,17.8,53,1014,36.8,0,2,,99
"Feb 8, 2014",2,28.9,17.2,57,1014,44.8,0,3,,98
"Feb 9, 2014",2,28.3,18.9,55,1014,32,0,2,,101
"Feb 10, 2014",2,30,18.9,55,1013,28.8,0,1,,100
"Feb 11, 2014",2,28.9,20,58,1013,25.6,0,2,,97
"Feb 12, 2014",2,30,20,53,1013,27.2,0,4,,98
"Feb 13, 2014",2,31.7,17.2,52,1014,38.4,0,2,,81
"Feb 14, 2014",2,30,16.7,54,1015,27.2,0,3,,86
"Feb 15, 2014",2,30,20,52,1015,38.4,0,3,,82
"Feb 16, 2014",2,29.4,20,49,1015,33.6,0,1,,84
"Feb 17, 2014",2,27.8,18.9,49,1014,51.2,0,1,,84
"Feb 18, 2014",2,27.8,17.8,52,1014,46.4,0,1,,97
