Posi‡Æo;Time;Chutes ao gol por jogo;Posso de bola;passes bem feitos;jogadas a‚reas;Nota
1;Corinthians;12.3;52.7;80.5;14.8;6.89
2;Atletico MG;14.1;54.9;83.0;12.7;6.84
3;Ponte Preta;12.8;49.7;78.1;15.1;6.78
4;Gremio;11.9;52.5;80.9;12.3;6.78
5;Santos FC;12.6;50.7;81.2;11.6;6.77
6;Sport;11.3;50.3;81.2;13.4;6.76
7;Sao Paulo;12.4;54.1;83.4;11.2;6.75
8;Internacional;11.1;51.2;78.5;13.8;6.73
9;Cruzeiro;13.9;51.6;78.9;15.6;6.73
10;Palmeiras;13.2;50.4;75.5;16.4;6.72
11;Atletico PR;12.8;50.2;79.8;10.4;6.72
12;Goias;12.1;44.0;76.4;15;6.69
13;Flamengo;12.8;53.7;80.1;13.2;6.68
14;Chapecoense AF;11.9;49.8;77.5;17.2;6.68
15;Fluminense;11.8;49.6;78.9;15.9;6.65
16;Figueirense;10.1;45.8;72.8;14.6;6.65
17;Avai FC;10.6;43.8;74.1;15.5;6.62
18;Joinville;10.8;46.7;73.2;15.7;6.61
19;Coritiba;11.5;48.8;75.3;13;6.58
20;Vasco da Gama;11.6;49.5;76.4;15.3;6.52
